-76,-227,-22.887,139,10,-385,-10.668,-1.985,186,-35
330,-92.017,-343,-273,-338,-74.061,-13.899,66,-36.746,55.983
-76.192,-148,98,-181,308,-326,24.755,37.447,-372,-178
114,68.248,-60,40,84.065,-189,413,-10.085,89,326
-75.896,13,140,-314,-211,-50,-398,8,-228,-15.87
96.502,487,-61,61,92.89,-4.397,-79.994,122,-297,186
-301,72.242,46.895,-326,-279,-22,-234,67.808,73.995,-191
62.24,63.578,-402,-9,-499,-399,-497,259,-52,-94.092
-55.44,-381,-165,-76.875,-32,-16.476,-7.355,387,71,151
-318,35.666,-267,-432,133,-87.979,-380,-11.441,96.615,351
-83.177,54.849,178,-30.57,-26.2,139,256,54.054,-43.321,243
2,-356,42.752,-97.73,-47,-70.087,-26.124,-3.148,-199,-21.682
227,57.252,299,-33.324,497,-36.643,93.378,-434,-65.739,43
104,45.006,-195,-301,390,284,268,123,-36.946,-69.37
2.902,79.987,71.752,-42.276,-90.154,-70.267,48.502,182,13,-14.102
-88.915,18.851,-306,-19.301,18.125,115,99.042,156,-23.255,28.582
-48.401,-2.18,37.818,-99.695,-422,-134,-326,52.045,-62,90.696
-434,-205,-151,-87.031,-94.216,180,40.713,-228,-76.771,-80.797
56.658,-323,-16.461,-98,65.328,27.004,-127,49.52,-43.839,273
-66.487,-3.306,-73.816,-147,39.146,-220,384,53.301,156,474
54,-87.153,214,42.918,39.806,440,260,47,-467,98
78.137,466,54.174,-350,303,-113,54.699,73,-42.093,446
29,-46.266,49.137,-174,394,18.737,-22,184,-84.327,-323
326,150,-90.548,-7,-60,27.754,367,-30.625,53.45,-418
-48.08,356,-85.56,308,-20.172,-201,-322,1.006,101,373
-96.25,-58.84,32,-200,-146,64.603,-63,-195,17.885,59.419
-324,-151,-81.047,78.2,61.554,-459,-47.268,79.71,66,61.175
10.512,-12.145,32.151,-32.913,-423,-53.926,262,12.315,149,-37.799
-10.012,73.797,8.757,101,-280,-76.264,-82.972,-24.908,95.672,436
62.894,73.017,393,143,-31.987,77.266,-97.52,470,-408,-65.707
-77.546,187,66,53.995,-20,49.768,-456,361,30.865,-32.954
288,-31,193,4.317,-135,110,-223,-228,430,440
-493,-7,-17.974,-48.487,69.954,14.918,264,128,-49.252,332
-281,30.577,43.006,-65.927,323,-57.343,-350,-19.161,494,-32.724
193,-63.409,318,-16,155,-63,-84,-68.315,-10.509,73
15.856,27.395,392,-146,-20.927,68.873,-38.548,217,47.615,96.343
-168,206,391,39,-37.82,80,38,-373,-9.622,-9
74,59.721,68.186,-48.165,-70.936,83.073,-28.343,278,208,332
-362,477,226,442,56,96.881,-55.906,-466,-29,498
184,-437,337,445,89.347,-38.494,34.274,366,-90.079,-333
-96.21,10,500,-277,232,24.981,-52.898,422,-310,66.994
-74.684,38.235,-12.462,386,-140,-5.933,22.36,440,235,-7
8.088,-19.042,97,-271,-331,-62.82,-196,-93,-64,-449
-445,-371,-364,-188,-46.577,-6.413,70.894,466,-244,-44.129
24.83,6.534,-38.813,45.813,280,-32.206,-45.998,37.187,-121,-480
-365,92.3,-348,283,73,-0.647,2.252,66.84,25,361
358,450,-73.901,-3.712,-340,-236,333,32,-94.924,11.704
-69.278,342,259,-387,-467,212,-25.649,-192,-76.611,280
-279,13.647,188,-417,236,-50.658,-35,48.772,2.514,-2.15
351,-31.738,349,-65.482,96.788,326,-32.662,-45,-10,-49.091
-32,9.655,-461,78.96,199,-37.127,84.004,49.177,349,105
393,63,-376,-157,-98,-364,-34.134,66,-324,-432
-118,-67.619,-279,-68.28,-212,37.435,32.691,-86.942,33.096,50
87.584,-412,-36.247,3.351,60.64,139,312,50.837,269,-92.072
407,39.06,-166,354,-54.038,-229,-189,-27.283,-246,51
82.929,-80.628,436,-216,62.752,228,-243,43,111,-46.743
-409,-62.443,-32,-214,-17,-44.08,-13,-57,33.18,-87.299
447,-166,-39.742,290,-437,136,-172,-163,72.483,-88
118,-42,-81.975,-202,285,42.988,-194,-390,-3.965,-77.857
-443,10,-95.955,242,-6.926,486,353,-254,28.274,233
-140,306,10.208,377,115,269,-176,451,-154,444
-76.953,-430,335,258,83.995,-23.109,-416,-40.497,79.195,413
-25,-339,77.9,-448,-18,-420,-72.578,-79,-5.082,11.81
25.702,16.715,-47,-416,-29.184,-45,-16,-18.042,200,77
71.245,-147,174,361,-410,-169,80.273,4,77.367,-91
169,-70.061,-206,-394,-467,-97,-208,16.535,-366,67.526
-85.91,-83.233,195,346,-182,55,26.467,-215,30.215,96.771
49.201,-23.277,75.492,24.352,262,80,451,-88.258,-229,-24.919
59.616,48.653,347,32.628,10.922,90,-338,-98.566,340,-68.571
