173,222,222,301,43.783,-458
-256,-243,-154,69,-271,406
131,453,-2.496,134,-500,-85.629
-305,206,266,-371,-432,239
48.946,-210,142,-267,-440,-144
-189,-69,211,-249,82,435
-53,-1,-468,59.604,7,-217
130,-99,-19,-39.244,36.316,24
-457,-379,-97,90,-335,272
-53.626,-16.804,-27.118,29.934,26,-274
326,309,-173,401,-177,-72.326
84.339,380,158,-99.202,403,-174
-248,-85.48,-319,-302,462,-66.128
-445,-96.142,-84.121,-95.663,38.849,-35
361,-94.239,-497,56,-413,-67
395,-322,-316,-115,-319,-313
172,-6.915,102,288,-117,-20.713
102,16.662,-70.26,-381,131,-38.963
288,-3.967,-372,228,433,27
-6.55,139,-86.217,-361,486,-494
-8.867,-273,-99,-235,-12,-486
-94.083,-5.229,474,-20,-149,-95.466
-312,-8,394,85.901,94.812,87
-184,74.002,353,489,460,289
-80.632,108,30,-69,-65.81,478
-62.176,97.741,-366,-348,-15.441,-20.94
-475,-287,308,-238,-73.075,-149
-278,-37.813,-48.782,-158,-151,-94.432
-48.412,-410,265,-418,-36.61,391
-200,-385,153,-448,-410,100
174,365,16.687,-477,29.243,-483
66.756,234,322,60,341,56
-178,-380,2.893,285,-71.142,488
-252,-480,-225,2.887,-180,96.598
-425,-323,-402,54,21,-157
-418,84.661,89.336,26.686,-169,-98
-487,54.308,-234,-429,-282,-121
64.84,-413,72,-277,190,83.3
-293,-266,54,108,23,228
59.87,14.769,-432,7.525,266,191
38.084,258,383,21.034,75,-484
98,81.613,302,-141,285,-431
-241,-335,134,234,-276,440
79,77.164,-173,-1.897,-431,81.39
8.885,-31,447,88.157,-333,169
24.986,-92.368,-59.005,-222,-67.123,-89
-206,351,68.252,-322,-118,-2.364
11.827,307,-43.761,-252,469,-409
-209,-27.517,224,-175,-37.208,-324
-453,-8.748,-118,406,277,465
16.785,263,-497,120,188,-497
58,52.932,-316,-61.598,-16,407
60,-35,-38.938,88,-148,-74.619
-245,-64.498,67.491,-218,288,-387
-470,182,152,21,441,18.795
-86.589,-105,187,375,378,53.779
-370,399,-234,123,-35.004,211
84.919,328,86.401,430,43,-94
-313,114,40.051,183,-438,-430
-298,-21.991,-498,450,-79.116,63
353,-42.701,252,11.323,-319,-94.014
375,185,-447,101,6.075,-12.819
28.505,-133,-217,393,61.17,364
-48.194,466,-224,-483,-406,314
-182,-323,-0.758,-96,-322,-207
464,-385,199,352,-417,72
-477,341,351,-30.1,-84.479,134
24,39,-75,74,28.84,-8.959
-145,-29,-285,-80.033,-207,242
-78,-116,194,15,91.009,140
-408,440,-463,-451,-116,-59.286
-8,-20.305,469,-5,315,231
-75.466,-67.699,-198,-413,-58.191,-32.323
46.672,-41,-55.198,-57.73,120,221
59.622,-59.202,461,175,22.701,-417
-147,310,0.479,378,-491,-294
-221,329,24.365,368,71.613,-380
-278,322,-431,46.012,93,-61.836
-25.194,-13.312,69.178,237,58.539,-261
-208,-486,467,304,28.595,322
-499,-31.265,-7.325,-21,407,441
-258,451,284,387,94.519,-452
73.944,-33.236,-141,-50.765,151,6.132
255,-227,-332,-388,83,-4.516
