-347,466,-26.822,-52
337,-60,-37,57.811
42.869,-284,171,143
-55.091,-256,0.911,-68.261
-441,260,-116,267
124,-25.078,64.696,68.978
95.827,-333,495,76.298
-95.957,-62.055,-5.558,-58.113
73.228,-317,418,-271
-346,-16.914,-78.917,299
160,-243,-316,46
30.322,-301,117,97.672
-8.476,101,93.507,-27.811
-30.235,-166,-393,-248
-5.997,-306,463,-217
61.172,-17.287,52.377,303
-326,-21.152,194,62.579
-82.194,-128,94.418,45.562
475,180,170,-93
48.778,66,340,65.926
63.517,-496,246,91
190,-224,-272,31.164
174,-303,21.631,96.36
-433,-291,-197,57
47.11,-88.78,92.664,497
84.065,79.332,-315,-39.107
-396,-51,-413,-17.087
-151,32.692,-12.394,52.082
-300,-26.821,-13.644,9.151
-26,-20,-22.77,120
98.35,40.758,340,-461
389,-20.564,5.821,-104
-83.821,211,31.321,-84.107
94.192,-2.345,-156,354
476,-348,-26.851,-25.424
388,91.871,90.968,43
270,389,-430,147
63.745,-52.555,-494,73.084
429,-371,132,278
271,265,479,406
-88.634,-378,-14.061,304
-347,-100,-257,-327
-38.46,45.287,-377,457
74.771,-328,78,-255
-409,98.093,145,-335
2.018,-14.405,-4.75,-479
31.14,42,30.134,-181
-23.957,-173,-265,-357
173,66,396,-99.593
47.998,349,-442,-61.254
-6.391,-144,28.522,-365
-9,132,-103,-247
65.106,49.171,-47.557,66.916
213,-17.235,-39.536,63.542
-191,-492,201,-27.246
95.431,80.683,-447,500
375,376,-56.283,341
-271,336,455,327
36.745,405,-137,376
-321,-65.422,-334,31.572
-163,282,0.919,366
-89.18,-124,-105,163
23.454,124,-135,76.512
2.893,-343,453,215
127,86.768,28.515,-83.254
-23.536,-56.706,347,270
-39.518,447,-48.207,-33.376
-63.503,14.149,325,-18.691
32.091,380,-220,-75.157
-32.717,222,52.911,59.1
286,-14,-373,-52.514
-263,-441,-90.111,28.703
67.311,-406,-252,-90
-3.993,95.196,47.809,16
84,-98,77.165,398
-254,-252,151,-42.215
38,-371,86.431,125
58,8.205,93.252,494
56.497,-168,173,-410
419,-358,380,-287
19,-184,64,-33.005
-41,-300,-75.38,-5
246,189,300,-12.916
19.446,200,33,310
136,28.663,-63.843,119
-57,-99.546,457,73.46
-10.226,-309,446,62
-299,-67.465,105,483
69.917,77.768,-49.727,-86.905
-295,-58,64,-428
21.884,-442,-96.847,467
-403,-88,-399,63.066
-6,8.409,342,23.615
-240,-383,23.681,443
-2,-276,-277,-38
94.119,342,-44.376,58.834
271,-288,92.246,-256
-14.746,452,62,118
-398,-30,399,-369
-36.33,-94.915,72.496,36.233
450,-473,-357,369
-7.442,39,-65.544,220
-50.472,97.044,-24.816,-281
410,426,-292,122
4.753,53,-54,407
-5,29,-359,17
-10.24,-450,-70.677,172
174,-22.441,9.43,49.132
-312,-492,141,6.162
-70.315,76.576,51.143,-313
29.645,283,-43.014,468
30.619,-151,349,-148
482,231,57.595,-143
-258,-284,35.892,471
-216,19.744,85,-13.467
-80.086,-1.395,324,126
-221,-36.491,-48.45,-53.814
45.575,-95.296,308,265
-493,-50,-294,487
-0.213,36.464,317,263
465,487,282,63.758
-31.181,-16.718,47.245,55
-179,33.86,-459,39.032
-41.387,301,231,56.59
-3,8,189,41.795
40,56.391,181,37
-384,-31.624,-30.699,69.719
-332,-76.236,318,42
-4,54.899,-315,-54.35
165,473,-17.183,-93
-55.042,-33.392,-89.982,-240
76,30,-33.696,223
-51,-92.686,305,-306
8.247,-380,83.277,7
2.069,31.952,208,67.953
-414,466,-58.008,472
422,-360,-50.105,-386
-109,168,-252,166
33.806,38.967,-366,-68
436,-2.062,-32.684,317
198,62,-95.891,-46.082
99.292,34.433,95,364
214,207,68.073,-21.374
-36.045,-498,-24.825,-421
-36.869,88.467,89.834,11.666
313,60.159,292,-51.626
-50.488,319,66,-380
-130,35.136,98,79.463
-137,312,65,300
64,-420,-2.219,-9.021
-341,198,-310,0.79
457,35.148,-7.493,-68
-166,68.648,81.366,311
92.371,42.67,163,69.266
-393,171,-47.253,-71.625
-171,63.992,93.477,-72
33.23,-209,-378,13.545
-367,88.684,-479,-108
218,-330,372,-50.504
-462,478,384,118
-87.512,486,358,-25.341
104,-3.675,-449,-433
-405,-430,-51.752,-315
66.562,79.753,340,-388
5.591,355,-60.527,44.257
-32,-472,81.493,-474
80.368,-221,-354,345
228,166,-441,66.207
187,324,-49.798,400
-59.225,-67,140,-441
-489,97,-286,-303
-27.242,12,-11.515,67.452
-47.808,-4.637,-257,-472
-187,-8.063,94.533,246
-259,319,43,6.632
465,-85.55,-100,46.424
-363,-416,58.415,-151
-69.306,-455,-69.649,59.189
-278,-62.373,-431,-6.939
388,257,-2.296,94.029
147,-414,-0.203,63.918
-285,-167,-15.479,39
99.159,-331,-31.04,-346
-149,69,467,-82.549
69,-123,-56.907,301
-489,79.751,-385,314
-360,-153,-334,-13.187
395,-395,297,-421
85.675,-67,231,375
-28.928,89.132,-457,147
53.826,-63.131,146,15.399
442,380,61.824,-389
81.851,123,-59.828,475
-93,-408,67,-315
-2.655,290,-225,15.401
11.044,213,-35,-432
185,-246,255,92
415,-262,-95.783,170
119,5,80.353,24.605
-146,-329,218,250
322,-30,-76,-28.238
-495,274,-379,23
-35.644,283,-342,-32.608
-28.72,33.773,-12,78
7.282,69.633,-177,8
209,-20.933,-19.61,-23.404
54.263,195,30.773,16.772
-135,-354,-11.929,484
245,-2,-30.134,176
-77.563,158,81,-158
-30.194,80.972,91.513,9.223
-435,-34,238,-18.875
-104,-155,-11.633,-123
-67.087,7.518,-74.062,51.953
-393,-248,176,67.994
-37.385,44.435,-366,-58.133
63.645,-59,13.284,445
-85.63,318,-269,71.293
-273,130,266,85.819
21.565,189,73.253,-377
-90,-414,41,-89.175
-41.847,-251,-232,142
71.988,-12.643,-82.844,52.867
322,-228,73.002,-262
-14,431,-71.619,-370
464,271,-207,288
-199,-64.335,119,23.095
56,-317,-66.159,84
-50.488,437,-76.102,-429
-85.171,100,266,-82.503
14,424,-133,26.093
386,-32.522,-61,332
52.068,-397,468,32.881
33.81,10.766,-267,29.076
-28.479,360,-52,57
-72.133,31.768,-77,-0.813
-359,329,-278,-463
-122,38.447,257,263
-170,-49.52,474,-64
-263,-29.03,-93.616,-157
-314,-38.462,-97,53.479
216,285,50,-116
286,-21.128,-40,-162
480,78.986,95.803,-337
-86.81,371,224,166
407,-226,-54.634,285
-17,-77.361,275,-88
263,418,-99.51,69.313
160,459,53.804,-355
5.649,36.377,-86.324,362
-44.952,-147,-31.415,94
354,-209,-11.015,63.555
-252,244,-344,18.928
473,213,-231,60.592
-109,-328,55.402,12
26,-24,428,2.7
-436,-48.378,-31,17
10,-60.299,311,109
-180,-88.495,-44.792,-34.697
-13.138,398,-36.753,30
394,83.06,139,-455
437,3.116,66.072,-312
-337,-124,-93.921,-309
-415,160,-122,99.615
341,-62.492,54.617,-55.953
457,48.036,-177,-7
375,-37.846,122,-24.011
-44.105,479,-420,-295
77.96,66.633,219,-25
14.528,256,-87.828,336
195,91.045,-361,-110
167,-77,10,136
21.954,191,-81.671,-68.183
88.274,-248,-70,7.815
-40.523,367,242,275
85,-416,235,255
-426,90.395,-222,303
-79,157,354,-31.864
403,6.621,-64.413,135
286,-298,412,147
-33.061,390,-371,482
254,65.391,0,-80.03
53.091,96.947,83.739,-354
153,335,-99.098,-91.612
-244,-36.2,25.358,14.863
291,28.763,-44.177,135
-105,285,-76.001,55.714
360,196,66.896,103
14.536,477,155,484
313,443,312,-12
-270,-252,-25.176,43.875
-478,-86.609,33,413
206,-6,-430,68
-236,0.489,347,-61.105
-85.439,-303,-17,455
478,76.815,301,-270
-28.29,432,21.183,327
-483,90.316,81,-132
84.575,-255,88.326,29.608
-49.395,430,-46.892,26.168
-24.673,-138,-408,39.006
174,460,-15.607,-61.27
-397,283,-92.766,361
-224,87.57,-57,153
-119,-495,-158,-81.554
487,354,39.523,-90.732
-47.584,475,146,414
238,-391,19.218,-27.229
-490,-79.832,-172,-107
53.553,172,90,-250
-88.447,-71.281,0,214
-27,13.601,-47,78.323
39,-93.985,34.437,-76
-80.203,-27.924,-348,293
-9.477,330,77,26.833
-49,-42.348,-460,-172
-363,63.346,446,-19.426
-1,40.567,258,-461
-272,-126,436,64.446
-25.033,-31.049,-11.947,-65.48
-220,496,-485,187
87.82,450,-60.659,-111
3.403,75.203,47.219,-8.691
-238,-63.156,420,-48.86
299,-410,-267,5.705
-288,-38.994,485,-480
435,-122,-66.947,-72
33,456,441,39
-359,-463,-46.516,8.262
35.4,57.505,-11.514,123
46.028,5,-287,-170
298,97.024,7.264,51.527
414,92,151,78.02
279,212,-40,159
28.702,-83.451,130,69
-106,498,239,-50.849
99.561,171,42,-94.872
57.01,-9,-42.791,59.919
-27.176,-28.293,11.806,316
-445,255,86.159,-357
-90.063,-232,44,-27.888
4.153,7,239,318
